,Name,Breed,Birth,Gender,Fur,Number,Title,Father,Mother
130,Cheapthrills Blue Isabelle,Helig birma (SBI),1980-05-29,Hona,blåmaskad (a),(SE)SVERAK LO 32072,,(SE)SVERAK LO 24832,(SE)SVERAK LO 20786
131,Cheapthrills Rozzy Blue,Helig birma (SBI),1982-03-09,Hona,blåmaskad (a),(SE)SVERAK LO 36869,GIC,(SE)SVERAK LO 30631,(SE)SVERAK LO 32072
132,Sinh Padilla af Silverbäcken,Helig birma (SBI),1974-06-07,Hona,brunmaskad (n),(SE)SVERAK LO 20016,,(SE)SVERAK LO 16125,(SE)SVERAK LO 12802
133,Diamond Head Belinda,Helig birma (SBI),1982-04-25,Hona,brunmaskad (n),(SE)SVERAK LO 40025,,(SE)SVERAK LO 24960 B,(SE)SVERAK LO 20016
134,Shaminka Houdini,Helig birma (SBI),,Hane,brunmaskad (n),(GB)GCCF OS 223810,,(GB)GCCF OS 186747,(GB)GCCF OS 200748
135,Pisces,Helig birma (SBI),,Hona,blåmaskad (a),(GB)GCCF NS 013205,CH,(GB)GCCF OS 223810,(GB)GCCF OS 244238
136,Patrioona Faust,Helig birma (SBI),,Hane,brunmaskad (n),(GB)GCCF NS 024383,CH,(GB)GCCF OS 245420,(GB)GCCF OS 245647
137,Sahra Jupiter,Helig birma (SBI),,Hane,brunmaskad (n),(GB)GCCF OS 245420,CH,(GB)GCCF OS 161638,(GB)GCCF OS 214997
138,Boisland Abigail,Helig birma (SBI),,Hona,blåmaskad (a),(GB)GCCF NS 053657,,(GB)GCCF OS 223810,(GB)GCCF NS 013205
139,Belleview Angeline,Helig birma (SBI),1978-03-31,Hona,blåmaskad (a),(GB)GCCF NS 095538  (SE)SVERAK LO 28065,,(GB)GCCF NS 024383,(GB)GCCF NS 053657
140,Mossekullens Fay,Helig birma (SBI),1982-05-28,Hona,brunmaskad (n),(SE)SVERAK LO 40067,,(SE)SVERAK LO 24020,(SE)SVERAK LO 28065
141,Änghagens Amy,Helig birma (SBI),1981-03-10,Hona,brunmaskad (n),(SE)SVERAK LO 34537,,(SE)SVERAK LO 24020,(SE)SVERAK LO 30262
142,Änghagens Calixtus,Helig birma (SBI),1982-07-21,Hane,blåmaskad (a),(SE)SVERAK LO 40233,,(SE)SVERAK LO 30636,(SE)SVERAK LO 34537
143,Sahra Soleil Bleu,Helig birma (SBI),,Hane,blåmaskad (a),(GB)GCCF NS 013169,CH,(GB)GCCF OS 244412,(GB)GCCF OS 214997
144,Dirkkusch van Smellinghe,Helig birma (SBI),,Hane,brunmaskad (n),(NL)NKS 22-235,IC,(DE)DEZV B 628,(NL)NKS 20-728
145,Anja von Assindia,Helig birma (SBI),,Hona,brunmaskad (n),(NL)NKS 22-613 *IMP-DE,CH,(DE)DEV B 585*IMP,(DE)DEZV B 568
146,Halloween Amon Ra,Helig birma (SBI),,Hane,brunmaskad (n),(GB)GCCF OS 186747,,(GB)GCCF OS 152530*IMP-F,(GB)GCCF OS 146412
147,Praha Kao,Helig birma (SBI),,Hona,blåmaskad (a),(GB)GCCF OS 200748,,(GB)GCCF OS 161638,(GB)GCCF OS 146411
148,Praha Goa,Helig birma (SBI),,Hona,brunmaskad (n),(GB)GCCF OS 162946,,(GB)GCCF OS 152530*IMP-F,(GB)GCCF OS 140034
149,Smokeyhill Kwang Lie,Helig birma (SBI),,Hane,blåmaskad (a),(NL)NKS 24-799*IMP-GB,IC,(GB)GCCF NS 013169,(GB)GCCF OS 189362
150,Aagje van de Snoezepoesjes,Helig birma (SBI),,Hona,brunmaskad (n),(NL)NKS 23-176 *IMP-NL,IC,(NL)NKS 22-235,(NL)NKS 22-613 *IMP-DE
151,Gunga Opal,Helig birma (SBI),,Hona,brunmaskad (n),(GB)GCCF OS 200572,CH,(GB)GCCF OS 161638,(GB)GCCF OS 162946
